,review
32,"Forbidden Siren is based upon the Siren 2 Playstation 2 (so many 2s) game. Like most video game turned movies, I would say the majority don't translate into a different medium really well. And that go"
33,"Grieving couple move to a cabin on a mountain after the loss of their daughter, discovering that there may be ghosts haunting the place, restless spirits of past occupants who committed suicide. Julie"
34,"I have seen Dolemite and also (Avenging) Disco Godfather, two other fine works of the blaxploitation canon from our friend Rudy Ray Moore. But this film, The Human Tornado (aka Dolemite 2) will always"
35,"This movie represents the times it was made in as much as the original, i suppose. Which is really sad, because at a deeper level, the title 'Vanishing Point' the original, is so ironic. I'm sure it w"
36,"Wow, what a great cast! Julia Roberts, John Cusack, Christopher Walken, Catherine Zeta-Jones, Hank Azaria...what's that? A script, you say? Now you're just being greedy! Surely such a charismatic bunc"
37,"About a year ago I finally gave up on American television. I thought of giving up television completely until a friend who had lived in England showed me some programs that included The Office, Extras"
38,"I think this is almost all I need to say. I feel obliged to explain my actions though. I've basically never seen such an armateur production, and I mean that in all senses of the word. Although the ph"
39,"I saw this film in the worst possible circumstance. I'd already missed 15 minutes when I woke up to it on an international flight between Sydney and Seoul. I didn't know what I was watching, I thought"
40,"LL Cool J performed much better in this movie that I expected! He did a fabulous job acting as a ""renegade"" cop within a ""renegade"" department. From the very beginning, he does a great job of building"
41,"For a good half hour or so, I remember myself thinking: ""Hey, this could very well be Bill Rebane's best achievement ever!"". The opening sequences are atmospheric, there immediately are some scary mom"
42,"Ascension is actually a step up in terms of what the original movie was in story and in special effects. Jason Scott Lee Is good as a vampire hunter looking for the count himself (if you remember him,"
43,As with all environmentally aware films from the 1970s SOYLENT GREEN has a rather cheesy view of what ecological meltdown is . Overpopulation means there`s too many people to feed ? I was under the im
44,An old man who lives in the mountains wakes up one morning and loses his cat. He wanders the woods to witness a murder but did he see the murder or is he losing his mind? Is he just getting old? The m
45,"I think it's a great movie!! It's fun, maybe a little unrealistic, but fun and dramatic!! I would like to see it again, if they were showing it in TV!! Just 1 question: Are we still talking about the "
46,"Yes, some people have said that this movie was a waste of money, but i'm the kind of die hard dragon/world-ending/holy crap action movie fan.<br /><br />But if you take it from my stand point this mov"
47,"I've noticed over the years that when a rock star makes his final album before his death, that album, if it's not his best, is usually prolific in some way and worthy of a listen at least. The album i"
48,"I found myself very caught up in this movie, at least at the beginning, and any credit I give to this movie, is Lacey Chabert, she was fantastic!! But thats where it ends. I seem to be very good at fi"
49,1st watched 4/29/2007 - 4 out of 10(Dir-Mick Garris): Campy vampire-like Stephen King movie has so many strange and goofy elements that you start laughing over the extreme weirdness about 3/4 the way 
50,This is a fair little show about the paranormal although it feels as if Art Bell and his ilk figured out how to carve a career out of the attitude that Carl Kolchak exemplified. Of course there probab
51,"I've read a few books about Bonnie and Clyde, and this is definitely MORE accurate than the Beatty/Dunaway version, in that its costumes and locales echo actual photographs taken of the gang. Particul"
52,"I saw this movie in the middle of the night, when I was flipping through the channels and there was nothing else on to watch. It's one of those films where you stop to see what it is - just for a mome"
53,"This is another North East Florida production, filmed mainly in and near by to Fernandina Beach and the Kingsley Plantation. I was rather surprised the company was able to take over the main street of"
54,"I waited for this movie to play in great anticipation. Assuming it would be more accurately portrayed like the movie, ""The Christmas Box"" based on the book by Richard Paul Evans. I sent out many email"
55,"With the MASSIVE advertising this is getting on Nickelodeon and Nick Jr. and that ilk, my son was bugging us to see it. Between DVD and the theaters, I've seen pretty much everything by now from the o"
56,"Italian-born Eleonora has inherited from her deceased lover Karl, an ultra-modern and isolated house in the middle of the woods. It's winter and she meets the mysterious caretaker Leslie, who eventual"
57,"Just a regular Jason lee movie, There were some parts of the movie that were funny. The undertone of the move is to live life on the edge I guess. These are the types of movies that I think 14 year ol"
58,"Film starts with 3 people meeting each other in the bar. OK. They're talking about their imaginary lives, lying all the time, with no reason. Still OK.From time to time, they even make you laugh. Inte"
59,"I never seem to write a review on IMDb unless I am extremely surprised at how good, or how bad, a movie is. This film falls into the first category. Every year, I try to see all the nominees for Best "
60,"Early film directed by D.W. Griffith; it features a gloriously happy King (Arthur V. Johnson) and his Queen (Marion Leonard) - but, wait! When the King leaves the scene, his Queen makes music with the"
61,"It has a great name, but thats it and you wont get more than that for your money, in fact the first 30-40mins of the movie you might find it some kind of funny but after that the story goes from one s"
62,"The story goes something like this: A small-town girl, Katie (Jessica Simpson), decides to visit her boyfriend in the big city. When she arrives she discovers he isn't quite as faithful as he should b"
63,"John Carradine, John Ireland, and Faith Domergue who as players all saw better days in better films got together for this Grade G horror film about life imitating art in a mysterious mansion.<br /><br"
64,"This movie leaves the intellectual mind thinking and trying to analyze the story. I too cannot understand why people would trash this movie.<br /><br />If you are a Jerry Bruckheimer fan, this movie m"
65,Four tales of terror regarding the events at a creepy old mansion are recounted to sceptical Scotland Yard investigator Holloway (John Bennett) as he investigates the whereabouts of the latest occupan
66,1st watched 5/27/2009 - 4 out of 10 (Dir - Harold Young): The 3rd Universal mummy movie is about the same as the first two as far as the final result from the viewer's perspective. The story is simila
67,"Americans have the attention span of a fruit fly and if something does not happen within the span of a typical commercial, we tend to lose interest really fast.<br /><br />I found out an exciting fact"
68,"I actually liked this movie until the end. Sure, it was cheesy and pretty unlikely but still it kept my attention on a rainy afternoon. Until the end, that is. For her final performance at the prestig"
69,"The critics didn't like this film. It bombed in the States and as a result received only a limited showing in Britain. Which was a great shame, because it represents British rather than American humou"
70,"It is difficult to evaluate this or any other comparable film of the early sound era in terms that one might use for ordinary film commentary. At times there is almost a desperation, as many film pers"
71,"Normally, I have no problem with a movie or story with an ending that leaves you wondering to puzzle out what really happened, when it's done on purpose...<br /><br />But this movie really feels like "
72,It may (or may not) be considered interesting that the only reason I really checked out this movie in the first place was because I wanted to see the performance of the man who beat out Humphrey Bogar
73,"A French novelist, disgusted by his wife's society friends, goes to North Africa for a respite. There he encounters a vivacious & talented Bedouin girl, living in poverty. To spite his wife, who is ro"
74,This movie has recieved horrible ratings from just about everyone who has voted here but i am here to say if you like movies like Dude Wheres my Car and Dumb and Dumber this movie is for you. If your 
75,"Although the word megalmania is used a lot to describe Gene Kelly, and sometimes his dancing is way too stiff, you have to admit the guy knows how to put on a show. In American In Paris, he choreograp"
76,"I would like to know why John Amos left the show, and how did he die off the show again? I couldn't relate to everything, but sometimes they hit home with the problems they were facing. By the way, di"
77,I enjoyed the first reviewer's comment far more than I did the film when I saw it at a second-run theatre in the early '80's. I was impressed then by the care taken to create costumes modelled so clos
78,ANDY HARDY MEETS DEBUTANTE (1940) is the ninth (9th) film of the series and it shows the direction it was inevitably headed into. Characters ANDY HARDY (Mickey Rooney) and JUDGE HARDY (Lewis Stone) we
79,"Sly Stallone is hardly the finest actor in the world but compared to his brother, Frank...well, roll out those awards now! Mullet haired, muppet Frank seems to think that every part he plays, calls fo"
80,"I saw this film at a pre-release screening at the Writers Guild theater in Beverly Hills. As I recall, the film's producers and director were in attendance, presumably to gage our reaction.<br /><br /"
81,Just got out and cannot believe what a brilliant documentary this is. Rarely do you walk out of a movie theater in such awe and amazement. Lately movies have become so over hyped that the thrill of di
82,"Four teenage girlfriends drive to Fort Laurdale for spring break.Unfortunately they get a flat tire in Medley,Georgia and one of the girls witnesses a brutal murder deep in the woods.The local sheriff"
83,"In today's world of digital fabrication, there is no computer than can replace the actor and writer. Alas, this type of ""character driven"" film is far too rare these days. Duvall's performance as well"
84,"First of all, I think the below comment is unworthy for a site like this. Obviously you have no taste and you don't respect the taste of others. Not to give you a history lesson but I think it needs t"
85,"I used to always love the bill because of its great script and characters, but lately i feel as though it has turned into an emotional type of soap. If you look at promotional pictures/posters of the "
86,"this was a real guilt pleasure ... i saw the trailer and all the advertising, so i figured 'why not check out this vh1 movie?' and, as they used to say on t.v., 'i can't believe i watched the whole th"
87,TO all of yall who think 1.This was a boring telecast 2.Halle berry and denzel Washington did not deserve their Oscars<br /><br />SHUT THE F**k UP!! This was one of the best Academy awards show becaus
88,endearing tale........ voted ten against all averages for my age and sex... not all that much comedy (compared to a i almost wet myself movie) although funny enough. not a fan of musicals at all so pr
89,"Well, as Goethe once said, there really isn't any point in trying to pass a negative judgement that aspires to be objective on ""something that has had a great effect"". ""La Maman et La Putain"" has sure"
90,I was never a big fan of horror movies. They usually try cheap tricks to scare their audiences like loud noises and creepy children. They usually lack originality and contain overacting galore. The on
91,"A man brings his new wife to his home where his former wife died of an ""accident"". His new wife has just been released from an institution and is also VERY rich! All of the sudden she starts hearing n"
92,"This is a bit of a puzzle for a lot of the artsy Lynch crowd. They tend to try to write this off as some kind of meaningless, crude, side project of Lynch's. Like this is Lynch passing gas between his"
93,"Sammi, Curr a metal rock god, they tried to stop him, they tried to ban him, the tried to censor his music!! (much like the real life Dee Snider, from Twisted Sister,[Tipper Gore] or Ozzy Osborne) Kil"
94,"Stewart Moss stars as a scientist who is on a working trip with his wife, and one gets the feeling that he was picked for this role for his ability to roll his eyes back in his head...imagine the audi"
95,The original Lensman series of novels is a classic of the genre. It's pure adventure SF with some substance (here and there) and I've always wondered why Hollywood hasn't filmed it verbatim because it
96,"It was hard to watch this film and be totally fair and objective since I am a big fan the original 1944 movie. That, to me and many others, is one of the greatest film noirs ever made. Realizing this "
97,this movie had a lot of blood in it when the sabretooth attack it also i loved it when that guy and the women were having some good time and then the sabretooth attacked the women and ate her stomach 
98,"I have just seen this movie and have not read the book. The good thing of the movie is that at some parts it gets you thinking for a little while on the spiritual subject, evolution, sincronicity and "
99,"All you need to know about this film happens in the first five minutes: it looks cool, it has a solid original soundtrack reflective of the late-60s period, and all but a couple of its characters are "
100,"Just a note to add to the above comment. Fear of a Black Hat doesn't have the criminal who's image has been ripped off by the band, that's in CB4. Easily confused as the two films are so similar, but "
101,Life in some future fascist or near fascist state which severely restricts personal freedoms is a recurrent theme both in modern literature and for film makers. Such works post us warnings about undes
102,"Page 3 is one of those films Madhur Bhandarkar makes to expose societal filth. The film is compelling, but, like most of Bhandarkar's films, it is one-sided and overly pessimistic. This film is all ab"
103,I caught this Cuban film at at an arthouse film club. It was shown shortly after the magisterial 1935 Silly Symphony cartoon where the Isle of Symphony is reconciled with the Isle of Jazz. What with t
104,"Some genre films need to be dressed up. This one was an exception. Taken on its own merit, it's a dressed down version of the horror genre film. With minimal special effects, it manages to be a psycho"
105,"Medellin is a fabulous place to live, work, and study. I've been there twice, and never did I hear anything about guerrilla activities, paramilitaries taking tourists hostage, or anything of the sort."
106,National Lampoon was once a funny magazine. Whether you liked the stoner hippie days of the late sixties or the smug and sassy coke-head days of the seventies (when the comedy was fortified with plent
107,"Hilarious, laugh out loud moments ... and yet not a comedy. I particularly liked the planted gag of the ambulance soaking the ""filthy bum"" who then shouts after them in anger ""you filthy bums"", I mean"
108,"this film has its good points: hot chicks people die<br /><br />the problem... the hot Chicks barley get nude and you don't get to see many of the people dieing, mostly just lots of fast movements and"
109,"I remembered the title so well. To me, it was a Flora Robson movie with Olivier and Vivien Leigh in supporting roles. And it had Vincent Massey's voice from behind whiskers. Well Flora Robson was grea"
110,Kirk and crew land on a lonely planet where the sun is about to explode. They intend to evacuate the inhabitants but find the place deserted except for a Mr. Atoz who operates some sort of high-tech l
111,"As a convert into the Church of Jesus Christ of Latter Day Saints, I try to absorb as much as I can of my new religion's history. I was invited to attend a showing of this film with my sons & the othe"
112,"I guess I only have myself to blame for the gigantic disillusion that is ""Entrails of a Virgin"". You already know not to expect a cinematic masterpiece when you see a juicy and proudly promoted title "
113,The reason I intended to give this movie a chance to take 2 hours of my life (actually it was only 35 minutes) was my wish to try to understand and hopefully appreciate Indian cinema. All I have ever 
114,"I'm not saying that just as a Chris Rock fan, I'm saying this as a person who had low expectations going in to this movie and was proved wrong. The first flaw was it's everything-works-out ending that"
115,Some people might consider this movie a piece of artwork - to be able to express your imagination on film in order to create a movie filled with antagonizing pain and death.. I personally think that t
116,"On the face of it, this should be a great film, a great cast, a plot with many possibilities and one of Hollywood's finest behind the camera for the first time.<br /><br />However, its clear why it wa"
117,"So I flipped on the digital subscriber channels one night a couple of years ago and thought I'd pass a half hour watching ""Girlfight"" while waiting for ""Hart's War"" to start. With a title like that I "
118,"I went to this movie only because I was dragged there and I would have left again immediately because the audience consisted mainly of elderly people and I felt out of place. However, the film was utt"
119,"A true anomaly in the French cinema ,this despairing work has no equivalent in the contemporary production.One would rather have to look on the side of Louis Malle's ""le feu follet"" (1963)(the fire wi"
120,What was Steven Seagal thinking? I mean firstly I love Seagal. I love all his movies up to the mid 2000s. His early stuff is some of the best in the genre. This however does not live up to its excelle
121,"If he wanted to be accurate, he should have chosen some Frisco natives and not a bunch of NY actors who know nothing about the Sucka Free (not Sucker Free). I've lived in SF my entire life, and folks "
122,"you have a strong stomach. Holden was actually 55 years old at filming but looked near 70 and he only lived another 8 years. At one point Holden said, ""I am over twice your age."" Okay, try triple gran"
123,The movie is absolutely silly.<br /><br />But were you expecting a high-brow intellectual film based on a comic called Slam Dunk? Really? Jay Chou's acting isn't exactly the most moving thing I've eve
124,"Perhaps because I was so young, innocent and BRAINWASHED when I saw it, this movie was the cause of many sleepless nights for me. I haven't seen it since I was in seventh grade at a Presbyterian schoo"
125,"A man discovers that his parents were part of a nuclear experiment in the 50's and that he now has the power to... burst into flames! <br /><br />I was really geared up for this film, what with being "
126,For a long time it seemed like all the good Canadian actors had headed south of the border and (I guessed) all the second rank ones filled the top slots and that left the dregs for the sex comedies.<b
127,"""Dance, Fools, Dance"" is an early Crawford-Gable vehicle from 1931. Crawford plays a Bonnie Jordan, a wealthy young woman whose life consists of parties, booze, and stripping off her clothes to jump f"
128,This film concerns the story of Eddy as mentioned in the title and his homecoming to old friends in a seaside community. The plot involves the group of friends as it comes to light that Eddy left as a
129,"After seeing the terrible, terrible, terrible BATMAN: DEAD END I knew I had to see this as soon as I heard about it.<br /><br />Pressing play to view the trailer I thought I was in for another hideous"
130,As a mother of 2 young children who are or should I say have been growing up with the many reincarnations of Scooby I feel well positioned to comment on the historical and current version of Scooby.<b
131,The point of Wolfe's original novel -- indeed the point of the whole story -- is that things take place because of a carefully calculated sense of expediency. The goal is survival within a particular 
132,"Sure, it was cheesy and nonsensical and at times corny, but at least the filmmakers didn't try. While most TV movies border on the brink of mediocrity, this film actually has some redeeming qualities "
133,"For all of the hype about this film, I kept an open mind as to what I would ultimately think. And, although a bit slow at times, the first 90% of the movie is quite good, with more than a few ""old tim"
134,This may sound crazy to even the people who remember this show...But I remembered this as being live-action. I don't think I ever saw the cartoon. but movie? maybe. I remember it very clearly. The guy
135,"Why? Because for one reason, there has never been a more adorable scene in any film than Ann Margret singing ""Bye Bye Birdie"" at the opening. She reprises it again at the ending, too (in a different m"
136,Angels who got a little icky were banned from heaven and now reside in a British forest where they seduce and chop up teens. Talk about high concept. On the plus side this little mother gives us Tom S
137,Every country which has a working film industry has some sane (and maybe some insane) artist which make movies that you can only completely understand when you're a part of this country. I guess Hunds
138,"Back in the forties, when movies touched on matters not yet admissible in ""polite"" society, they resorted to codes which supposedly floated over the heads of most of the audience while alerting those "
139,"I must admit I burst out laughing when I saw one reviewer compare this to LOTR. Well yes, if you exclude the dwarfs, the cast of thousands, the great special effects, the big battles, the strong chara"
140,"My room-mate ordered this one off of the web a while back and I finally got around to watching it. It is gross. It is cheezy. It is pretty dumb... but it is also a lot of fun. I mean, this was the mos"
141,The point of the vastly extended preparatory phase of this Star is Born story seems to be to make ultimate success all the more sublime. Summer Phoenix is very effective as an inarticulate young woman
142,"The men can slaver over Lollo, if they like (or her lollos--she gave her name to a slang terms for breasts in French), but the ladies have an even tastier morsel in the divine Gerard Philipe, who is n"
143,"While the title ""Before the Devil Knows You're Dead"" comes from an Irish proverb the film plays out like a Greek tragedy. It all starts with a botched robbery and continues to spiral out of control as"
144,"It's been a while since seeing this the first time, so I watched it again with the second movie in the series. While I realize there is a 3rd movie out that I haven't seen yet, I'll review under the o"
145,"Larry Fessenden has been thrashed by most of the comments on this forum. Well, the worst mistake, evidently, is the marketing of the movie and the way the DVD might have been targeted. Obviously, this"
146,Raymond Burr stars as an attorney caught up in the murder of his best friend (Dick Foran) thanks to his affection for his friend's wife (Angela Lansbury). This was a full year before he started doing 
147,This film reminds me a lot of the anti-drug films of the 50's and 60's due to the fact that it was made by people that have obviously never experienced the social evil that they are warning us about. 
148,"I saw this movie on Thursdays night after having a really boring day. I had no expectations, those I had were rather negative. Being that the only movie I've ever watched Jimmy in is the American vers"
149,"I don't like ""grade inflation"" but I just had to give this a 10. I can't think of anything I didn't like about it. I saw it last night and woke up today thinking about it. I'm sure that the Hollywood "
150,All the folks who sit here and say that this movie's weak link is the Ramones would probably say that Amadeus was ok if not for that irritating harpsichordist. Rock and Roll High School was centered a
151,"Noel Coward,a witty and urbane man,was friends with Louis Mountbatten.Mr Coward,a long-time admirer of all things naval,was commissioned to write a story loosely based on the loss of Mountbatten's shi"
152,"When I saw the Exterminators of year 3000 at first time, I had no expectations for that movie. Although, it wasn't so bad as I was thought. It's kind of Italian version of Roadwarrior, with cast, that"
153,I'm grateful for one thing and one thing only - that this woman will now be thousands of miles away on an entirely different continent!!! Yay!!! This programme summed up perfectly just how obsessed Vi
154,"Thank God this wasn't based on a true story, because what a story it is. Populated by despicable characters whose depravity knows no bounds, Before The Devil is a mesmerizing, jaw-dropping excursion i"
155,"***1/2 Scarlett Johansson, Woody Allen, Hugh Jackman, Ian McShane, Romola Garia. Directed by Woody Allen. Just after his work with Johansson on ""Match Point"" the two return for ""Scoop"" a Corky, zany a"
156,"""Flavia, la monaca muslmana"" aka. ""Flavia the Heretic"" of 1974 is a truly disturbing and uncompromising piece of Italian Exploitation cinema that, to a certain extent, follows a somewhat feminist prem"
157,"The original movie, The Odd Couple, has some wonderful comic one-liners. The entire world it seems knows the story of neurotic neat-freak Felix Ungar and funny, obnoxious, slob Oscar Madison. This par"
158,This movie was awesome!! (Not quite as good as the Leif Garrett masterpiece Longshot) but still awesome!! I thought Ashley looked freakin' huge compared to Mary-Kate in this film. I wonder why. Who wo
159,"I had started to lose my faith in films of recent being inundated with the typical Genre Hollywood film. Story lines fail, and camera work is merely copied from the last film of similiar taste. But, t"
160,"""Cut"" is a film about some film students making a film. It's very much in the ""Scream"" mold, an ironic, self-referential horror flick which, for me at least, falls down because for all its irony, it's"
161,"** Warning - this post may contain spoilers **<br /><br />I only got a Gamecube in September 2005, and the first two games I bought were James Bond games, the decent Agent Under Fire and the dull Gold"
162,"I'm sick of people whining about Ewoks! True, they're not the best thing that ever happened to Star Wars, but they DID happen, so deal with it! Besides, they ARE cute, and I don't care if they're mark"
163,"I must tell you right up front, I am certainly NOT an authority on Bollywood films and have only seen a handful. However, if you've never seen one, DON'T start with this one! I have greatly enjoyed th"
164,"Prison is set in Wyoming where work on a new prison has hit a problem so the state board decide to re-open an old state penitentiary that has been closed for 20 years, Warden Eaton Sharpe (Lane Smith)"
165,"I saw this on cable recently and kinda enjoyed it. I've been reading the comments here and it seems that everyone likes the second half more than the first half. Personally, I enjoyed the first story "
166,"Jim Carrey is one of the funniest and most gifted comedians in film today. With his hyperactive spontaneity and his rubber face he can just go crazy, and we love him for it. He has the ability to make"
167,"This did for crime what ""Not Another Teen Movie"" did for school. I laughed all the way through as 2 inept gangs warred with each other and among themselves. An unsubtle comedy using overt jokes and ga"
168,I had never heard of this film until I came across it by accident when browsing IMDB. I saw it had gotten many awful reviews containing very colorful expletives on how much it stunk. Of course this me
169,"I'm one of the millions of Columbo addicts all over the world and just watched this,the episode that started it all, on British Channel 5. It IS fascinating to think what sprung from this so-so movie "
170,"First of all, this film was not released to theatres (TESTED POORLY THEY SAY),I say they figured the story of crooked cops, politicians & dedicated newspaper people had been done to death,just send it"
171,"ABC has done more for this show by allowing television veterans James Garner and David Spade to join the cast of this show. At first, the show was watchable and even predictable with John Ritter and K"
172,"Thomas Capano was not Anne Marie's boss Tom Carper, the Governor was. That is the reason the Feds became involved, he called Clinton and asked him to get the Feds involved in the case. I lived outside"
173,"When I first read Hamlet, I couldn't help but think of the ending of OUTRAGEOUS FORTUNE, where Bette Midler puts down the play because of how indecisive he is, and says, ""Give me Romeo any day."" Five "
174,"Deathtrap runs like a play within a movie about who did what to whom, as it primarily takes place on one set. The premise is that an accomplished playwright, whose star is falling, receives a magnific"
175,"The message of a world on the brink of war is disregarded by the masses; the mythical city of Everytown in 1940 represents England in general, but it could just as well stand for any nation of the wor"
176,I suppose that today this film has relevance because it was an early Sofia Loren film. She was 19 years old when the film was made in 1953.<br /><br />I viewed this film because I wanted to see some o
177,"""Dragonlord"" sees Chan returning to his role of ""Dragon"" from ""The Young Master"". Not much has carried over from the first film though. ""Tiger"", his older brother, is nowhere to be seen; neither is th"
178,"Imagine turning out the lights in your remote farmhouse on a cold night, and then going to bed. There's no need to lock the doors. The only sound is the wind whistling through the trees. Sometime afte"
179,Scott Henderson (Alan Curtis) meets a mystery woman (Fay Helm) in a bar and invites her to see a show with him. She agrees on condition that they don't swap any information about each other - not even
180,"Frank Capra's creativity must have been just about spent by the time he made this film. While it has a few charming moments, and many wonderful performers, Capra's outright recycling of not just the s"
181,"I agree totally with another of the reviewers here who was pleased ""For The Birds"" won the Oscar in 2002 for ""Best Animated Short,"" not this sick material, which is pretentious at best and appealing t"
182,Frankie Dio (Lee VanCleef) is a high-ranking mobster who turns himself in to the police or illegal gambling (for reasons that seem unclear to me). Tony (Tony Lo Bianco) is a low-level thug who frequen
183,The first 2 parts seek to reduce to absurdity the rise of wasteful wars and rule by nationalist barbarians. The 3rd part speculates that progress and exploration toward the moon and beyond is the key 
184,"Hilariously obvious ""drama"" about a bunch of high school (I think) kids who enjoy non-stop hip-hop, break dancing, graffiti and trying to become a dj at the Roxy--or something. To be totally honest I "
185,"Another variation and improvisation on the famous and beloved children tale, La Bete (1975) aka The Beast tries to imagine (in very graphic and what may seem offensive and disturbing but in reality ra"
186,"Why does this have such a low rating? I really don't get it... Is it because of the bad acting? The bad dialogue? Well, who cares about these things in cheesy low-budget horror movies? Seriously, the "
187,Douglas Sirk directs this over-acted drama about the unhappy affluent. Kyle Hadley(Robert Stack)and Mitch Wayne(Rock Hudson) are boyhood friends with different looks on life. Kyle is the womanizing so
188,"Let's start by the simple lines. From the viewer's side, there a couple of good ""director details"", some points of view at the movie scenes that are nice. The special effects are good enough, a good a"
189,"Rock star John Norman Howard (Kris Kristofferson) turns lounge singer Esther Hoffman (Barbra Streisand) into an overnight singing star. Esther's star rises while John's goes into decline, thanks to dr"
190,"i should qualify that title, now that i think about it. Checkout is not entirely worthless. i've had the opportunity to see it twice, and on the second time i did get a great laugh at the movie's expe"
191,I've now just realised that by watching this film I have lost valuable precious moments of my life I will never get back. Thsi film isn't just poor its dire. It reminded me of every stereotypical blac
192,"Sorry to say I have no idea what Hollywood is doing. Sure give us movies like Batman Begins. Oh, by the way Hollywood I think they may cover the story line in the movie Batman, but please don't entert"
193,"What a let down! This started with an intriguing mystery and interesting characters. Admittedly it moved along at the speed of a snail, but I was nevertheless gripped and kept watching.<br /><br />Dav"
194,"SPOILER ALERT!!!!<br /><br />I had just watched the extended version of Bedknobs and Broomsticks. Though I did like the extended version, I wish they would have left the original version on the DVD.<b"
