,score,review
744,-2.5405640602111816,"i expected something different:more passion,drama...Again another failed attempt of originality.i'm sorry to say that the film falls into the old cliché of 'cheesiness'.15 year old teens may appreciat"
378,-2.5394675731658936,"Let's face it: the final season (#8) was one of the worst seasons in any show I've ever enjoyed (mostly, I've never found dry spells to last a whole season). But if you judge this show by the last sea"
1485,-2.535618305206299,"I cannot say this movie is a disappointment because I read some reviews before watching and it did not do as well as I thought it would have. The bar was not set that high, so the fact that my expecta"
1565,-2.533393621444702,"Contains spoilers<br /><br />""Hollow Man"" is probably the weakest movie that Paul Verhoeven, director of great movies like ""Total Recall"", ""Starship Troopers"" and ""Robocop"" has ever made. <br /><br />"
335,-2.5333609580993652,"Man, if anyone was expecting a great zombie movie after reading that title, then you are a retard and you deserve to be disappointed. As for myself, I was expecting a low-budgeted cheeseball zombie fl"
1712,-2.5250344276428223,"I'm from Belgium and therefore my English writing is rather poor, sorry for that...<br /><br />This is one of those little known movies that plays only once on TV and than seems to vanishes into thin "
1368,-2.520019292831421,"My Super Ex Girlfriend turned out to be a pleasant surprise for me, I was really expecting a horrible movie that would probably be stupid and predictable, and you know what? It was! But this movie did"
455,-2.5190038681030273,This is simply the epitome of what a made for TV movie should be. It was a lazy Sunday afternoon when my wife and I were in grad school that we stumbled upon this. The cheesy acting. The poorly writte
916,-2.513584613800049,"I contend that whoever is ultimately responsible for creating/approving the trailer for this movie has completely blundered. NO ONE I know wanted to see this movie based on the previews, and EVERYONE "
1892,-2.5129730701446533,Deranged and graphically gory Japanese film about little beings taking people over and turning them into necroborg-zombie like machines- which beat and hack each other apart so that the winner can eat
1279,-2.5114266872406006,"Honestly, I find this film almost too depressing for my own good. It is VERY depressing until pretty much the very end. There is no way I can justify passing judgement to any character who did things "
413,-2.5086381435394287,"The accountant Shohei Sugiyama (Kôji Yakusho) is feeling bored with his routine life, limited to hard work and stay at home with his wife Masako Sugiyama (Hideko Hara) and his teenager's daughter. One"
1139,-2.506901741027832,"Of course, by any normal standard of film criticism, Soldier is a very poor film indeed. Kurt Russell is a futuristic super soldier raised since birth to kill but then made obsolete after being better"
1059,-2.502119779586792,"Steven Spielberg wanted to win an Oscar so bad that he figured that he wouldn't win by directing special effects epics (he was nominated for three of them: ""Close Encounters of the Third Kind"", ""Raide"
1319,-2.5005576610565186,"I just don't understand why this movie is getting beat-up in here. Jeez. It is mindless, it isn't polished and it is (as I am reading) wasted on some. The cast of this movie plays their characters to "
1689,-2.499375343322754,"Don't mistake ""War Inc."" for a sharply chiseled satire or a brainy comedy full of inside jokes for news buffs. It isn't.<br /><br />This is an old-fashioned screwball comedy, with ridiculously coincid"
221,-2.496386766433716,"The Flock is unjustly maligned as a lesser ""Se7en"" ripoff. There's really no reason to compare the two, except maybe for the similar scenery in the final showdown.<br /><br />Now that that's out of th"
1050,-2.494109869003296,"I had no idea what Jane Eyre was before I saw this miniseries. I had read and watched many classics before, and I believed that most classics were boring, over-worded, and overrated stories with moder"
1248,-2.486372470855713,"I saw this film as it was the second feature on a disc containing the previously banned Video Nasty 'Blood Rites'. As Blood Rites was entirely awful, I really wasn't expecting much from this film; but"
1409,-2.485656499862671,"For years we've been watching every horror film that comes out, from the dull Hollywood retreads like Saw 2, to awful indie releases that are completely unmatchable... we suffer through all of bad fil"
885,-2.4851465225219727,"I saw this movie recently. 2 hours later, my head still hurt from laughing. The plot was soo awful, the jokes were soo bad, but what I didn't count on were:<br /><br />1. the 2 scenes before and after"
511,-2.4826223850250244,"This is a very difficult movie, and it's almost impossible to get a handle on what's going on. At first it seems to be a rather pedestrian movie about a guy (Trelkovsky) who needs an apartment and rat"
122,-2.4805784225463867,"Gruveyman2 (comment below)you are a complete idiot...blinded by ignorance by the very city you have allegiance to. Its that whiny arrogance, that you are ironically claiming the film exudes about SF, "
105,-2.470867395401001,"The Mother is one of those films that you know is good, maybe even great, but it is like eating vegetables or doing math homework is to a kid - too much work and a whole lot of pain to get invested in"
1866,-2.4667160511016846,I was really excited about seeing this film. I thought finally Australia had made a good film.. but I was wrong.<br /><br />This was the most pathetic attempt at a slasher film ever. I feel sorry for 
1940,-2.4556334018707275,"The first film had little ambition so nothing sticks to the screen. It was a bad version of 'Back to the Future' with zero charm. Once accepted that Bill & Ted are nitwits, the joke can only get hamme"
393,-2.454970359802246,"This movie had no parts that were hilarious, mostly just average funny units, but it did not have any parts that were really bad either. The worst part was the voice of Sid. His slothy slur was just t"
855,-2.454139471054077,this is a visual adaptation of manga with very little dialogue. what dialogue there is appears in word baloons as it would in the manga. the plot of this is existent but only vaguely accounted for. th
1860,-2.449298858642578,"The Haunted World of Edward D. Wood, Jr. isn't a particularly good documentary. Aesthetically, it's lackluster and cheap looking, the people in it go off on tangents which make it very unfocused and i"
470,-2.4404478073120117,"I always said that the animated Batman movies were much better than the live action films.<br /><br />I've seen all of the animated films, but out of the bunch, this is the poorest, and it's rather di"
368,-2.432098150253296,"This movie has been poorly received and badly reviewed. The book by Rebecca West was written in 1918, soon after WWI, when shell shock and trauma-induced amnesia were not clichés, as the reviewers cal"
24,-2.4319162368774414,This movie has recieved horrible ratings from just about everyone who has voted here but i am here to say if you like movies like Dude Wheres my Car and Dumb and Dumber this movie is for you. If your 
797,-2.424816608428955,"Despite of the success in comedy or drama, the Turkish directors are failure in horror-thriller. ""Okul-D@bbe"" are good examples for the awful horror Turkish films.<br /><br />But if you watch ""Gen"" yo"
259,-2.424184560775757,"Holes, the novel, was forced on me in an education course. I didn't think I would like a children's novel; plus, the other couple of books I was forced to read for the class were really bad. But, to m"
1753,-2.4229049682617188,"In light of bad reviews - or car crashes - I feel possessed to get in gear and make a transmission to give merit where due, and do a service. I'm not sure people have license to say it was so bad, alm"
1600,-2.4228451251983643,"All I can say about the Necromaniac/Schizophreniac 2 series is... if you are even remotely ""PC"" or don't have a seriously messed up sense of humor, then you probably wont get it. As sick and disgustin"
1526,-2.4220499992370605,"There are moments in the film that are so dreadful, your teeth ache. But knowing that there were only weeks left before the Code made movies innocuous and bland, Paramount rushed this into production "
236,-2.421110153198242,As we all know the sub-genre of sex comedies is pretty crowded. Simply being excessively raunchy isn't enough anymore. I've seen and heard so many disgusting jokes and actions that a sex comedy really
664,-2.4175469875335693,"I have to say the worst part of the movie was the first half hour. I was really confused about who was who. For example, Bill Paxson's character had long hair and was wearing a jacket. Then, when all "
283,-2.415560722351074,This movie is so misunderstood it is not even funny. If you think of seeing this one for the shootings.. stay clear. This one deals with the effects and trauma that the survivors must endure. Even the
1503,-2.4151508808135986,"This movie is horrible, but you have to see it because of that. I'm not here to discuss the entire film, just the greatest chase scene ever. When Eddie dumbs milk on Tim, he gets chased down the hallw"
1683,-2.411043405532837,"Okay, I am a fan of the Nightmare series and everyone says on here that this is the worst! But it's NOT!!! Haven't's you seen Freddy's Revenge??? WTF! That was the worst of all!!! Now this movie is pr"
1819,-2.410742998123169,What is so taboo about love?! People seem to have major problems with the transgenered.<br /><br />The title of this movie didn't catch my eye. It was a grainy shot about 4 minutes into the movie is w
633,-2.408737897872925,"When I saw that this film was only 80 minutes long, I thought we were in trouble. Condensing the gigantic W. Somerset Maugham novel down to a movie that clocks in at under an hour and a half seemed li"
104,-2.406602144241333,... so what's in those missing 10 minutes that were so horrible they had to cut them out from the original film? We were three years into the film production code... Barbara Stanwyck had starred in th
1031,-2.4033095836639404,I actually didn't start watching the show until it came on FX. I was bored and had nothing to watch and saw that the show's reruns were premiering so i decided to watch it. I was so upset that I had n
708,-2.4020137786865234,"Some of the acting was a bit suspect. I remember that asswipe Alexander Walker (Evening Standard critic, yeah OK, he's now dead) launched into a rant about this film saying it was a disgrace portrayin"
691,-2.4019742012023926,This shorter movie is the epitome the expected results when the imbecile runs the asylum. It is sad how the futures of these young people were rolled down a craps table when neither Saddam Hussein nor
81,-2.400017261505127,"Why does this have such a low rating? I really don't get it... Is it because of the bad acting? The bad dialogue? Well, who cares about these things in cheesy low-budget horror movies? Seriously, the "
978,-2.390451431274414,"All of the reviews here about how much ZP lacks plot, the acting is wooden, the orgy scene makes no sense, etc., all miss the main point.<br /><br />Let's be honest. This is a movie made in the heady "
1783,-2.387702703475952,"A remarkable example of cinematic alchemy at work, with a trite'n'turgid lump of lead script (penned by numbingly mediocre Hollywood hack nonpareil Jole Schumacher, no less) being magically converted "
1659,-2.3832361698150635,"Who would have thought that a movie about a man who drives a couple hundreds of miles on his lawn mower to see his brother, could possibly be good cinema? I certainly didn't. I thought I knew what to "
1615,-2.3801958560943604,"Ayone who whines about how this movie was crap or that it had no plot must have been looking for ""Jean de Florrette"". HELLO! this film was made to be a random act of comedy and in no way involves a pl"
1245,-2.3749170303344727,"I think this movie got a low rating because it got judged by it's worst moments. There is a diarrhea joke and an embarrassing nut-scratching scene, but apart from that there are actually quite a few m"
1207,-2.374274253845215,This is a low budget film with a cast of unknowns and a minimum of on location shoots. The Philippines substitute for Thailand and nobody actually goes to Hong Kong. The stock shot of a Cathay Pacific
109,-2.374234437942505,"I can't see the point in burying a movie like this in sulfuric sarcasm, when it is in no way intended to be anything more than a vehicle to entertain children and prepare them for the next line of mer"
65,-2.373138189315796,"I had started to lose my faith in films of recent being inundated with the typical Genre Hollywood film. Story lines fail, and camera work is merely copied from the last film of similiar taste. But, t"
572,-2.364499807357788,"Stupid, Stupid, Stupid. I think that Angelina Jolie is probably one of the most talented actress' today, but a movie like this isn't just worth her time. She deserves better, and so does everyone else"
1337,-2.364147424697876,What I expected: A rather lame overly-stereotypical portrayal of a sports-mad guy and an equally lame stereotypical portrayal of the gal who likes him yet suffers while being second banana to his over
1581,-2.3636648654937744,"I have never been one to shy away from saying that most action films just plain do nothing for me. Most times they are blatant vehicles to blow stuff up, show off sexy models, and throw any semblance "
1990,-2.3612728118896484,"I'm a HUGE fan of the twin sisters. Although this was one of their ""not soo good"" movies. I'm not saying it's bad, I can't say it's bad, but this whole popular and not popular thingy isn't good. Altho"
1841,-2.359487295150757,"Definitely one of the lesser of the Astaire/Rogers musicals. It's just very poorly plotted and paced. It only runs a few minutes longer than Swing Time, for example, but it feels a heck of a lot longe"
506,-2.3587329387664795,"This is one of those movies that they did too much promoting for. If you watch T.V., then you might as well not watch the movie. Almost all the funny scenes are spoiled in the previews, except one whi"
476,-2.3584914207458496,"This is a tepid docu-drama that covers no new ground, reworks all the cliches and is sloppy with facts. For example, Munich is a very flat city. So why is it hilly in the movie? For example, the end o"
447,-2.355567455291748,"At least something good came out of Damon Runyon's misguided attempt to sentimentalize the Mafia. ""Guys and Dolls,"" the seemingly indestructible stage musical, was captured on film in 1955 by Joseph L"
467,-2.342607021331787,"Whenever I hear a movie being touted because it has no sex, violence, bad language, special effects, and so on, my b.s. detector goes off. Usually, a movie like that is sentimental hogwash which pande"
865,-2.341069221496582,"I saw this movie when Mystery Science Theater ran it in 1993. It is the worst thing I've ever seen. So bad in fact, that by sheer freakiness, this movie must get a ten rating because it has to be seen"
848,-2.3365707397460938,"""Slaughter High"" is a totally ridiculous slasher flick about a high school nerd Marty,who gets pick on all the time by some pranksters.The prank goes wrong and he ends up getting savagely burned.Five "
2006,-2.3326382637023926,"*SPOILER ALERT: I wish I could discuss this without revealing specific plot points, but I can't. Sorry.*<br /><br />I was looking for an IMDb review of the George C. Scott movie when I stumbled across"
901,-2.331998109817505,"no movie with dennis hopper, gary busey, erika eleniak, tom berenger, dean stockwell, marilu henner deserves a rating under 5 on here. This is a poor mans version of movies like 16 blocks or the timel"
1376,-2.327583074569702,"Yes, the plot is predictable; yes, there are a few plot holes; yes, it has a made-for-TV quality; and yes, Britney Spears ""wrote"" the book with obvious self-promotion.<br /><br />But forget all of tha"
1967,-2.3267323970794678,"A series of vignettes, most of them spoofing television of the 1970's, but also with some digs at the government and corporate America. One of the longest segments, ""The Dealers"" is not that funny to "
1270,-2.3235034942626953,"This is actually a groovy-neat little flick, made on absolutely no discernible budget with shot on video crinkliness . It takes a little while to warm up to it. The acting is so bad that it soon acqui"
1442,-2.3153653144836426,"The Unborn is a Roger Corman production and as such is nasty and tasteless. If you hate pregnant women, check out this movie because it's chock full of preggo killings and failed abortions. Brooke Ada"
610,-2.3152780532836914,"Just saw the movie, and the scary thing was, the people talking during the movie sounded just like the actors. The movie had its moments, but also lagged and was rather sick. It was all meant to be a "
545,-2.312140941619873,"Samuel Fuller's Pickup on South Street is anomalous: A ""Red Scare"" movie devoid of hysteria, in which the Communist threat is nothing more than the McGuffin that ignites the plot. Pickpocket Richard W"
119,-2.310070037841797,"Mean-spirited, ugly, nasty retro-action thriller, about a bodyguard who is determined to find (and destroy!), the killers of the girl he was supposed to protect. This film is almost an anachronism in "
1170,-2.3016250133514404,"Alain Chabat is a fine actor, writer and director but maybe a trifle misguided to take an 'idea' credit for a story that probably had them rolling in the aisles when Aristophanes was still learning th"
241,-2.298767328262329,"It's true that Danny Steinmann's ""The Unseen"" is a simplistic horror thriller with a very predictable plot, no particular attempts for twists or surprises whatsoever and featuring literally every sing"
485,-2.296370506286621,"Rob Estes, Josie Bisset and a crap load of kids that look nothing like either of them.<br /><br />Basically, Rob and Josie have a shotgun wedding on a drunken night during a Vegas vacation. They each "
1913,-2.2947561740875244,I couldn't believe the comments made about the movie.<br /><br />As I read the awful opinions about the movie I actually wondered if you had actually viewed the same movie that I did.<br /><br />What 
1490,-2.290180206298828,"Somerset Maugham's characters are brought to life in RKO's ""Of Human Bondage""; but the movie is a too skeletal version of the novel, with Bette Davis' star-making performance sucking up all of the ene"
1000,-2.2887630462646484,"Was this based on a comic-book? A video-game? A drawing by a 3 year-old? <br /><br />There is nothing in this movie to be taken seriously at all; not the characters, not the dialog, not the plot, not "
2005,-2.2861459255218506,"I used to write comments at IMDb, but I don't do so anymore. It happens that IMDb has become massive, and consequently subjectiveness has ruined scores. What do I mean? That anyone that is not particu"
290,-2.283853769302368,"While watching this movie I was frustrated and distracted and by the end, I wanted to give the movie a solid 4 or 5. I thought the animation was random and all over the place and there was too much go"
1974,-2.277578830718994,"When Paris is Burning came out, I totally dismissed it. I was not into the whole Madonna and vogueing phenomenon. I thought it was going to be campy and silly. How wrong I was about this movie. I watc"
1180,-2.2773470878601074,"Famous words of foreign nightclub owner Roman Maroni, that ""lousy cork sucker"" who spends the whole movie not only as Johnny Dangerously's rival, but butchering the English language as well.<br /><br "
1537,-2.2755329608917236,"Director Edward Montagne does in a little more than one hour what other, more expensive and hyped films fail to do. Mr. Montagne shows us a police story written by Phillip H. Reisman Jr. that while, i"
1993,-2.265235185623169,"Director Brian Yuzna has had an uneven career in the horror genre, creating masterpieces such as ""Return of the Living Dead 3"" or ""Bride of Re-Animator"", but at the same time he has done awful movies "
636,-2.2632339000701904,"There is nothing remotely scary about modern ""horror"" which is an insult to the word ""horror"". Freddie Vs Jason, the Scream movies, Cabin Trash, and especially Stephen King's infantile attempts - he's"
666,-2.2593908309936523,"This movie is completely ridiculous. Not only is the plot atrocious, but the acting is horrendous. The special effects are asinine and the entire movie is set in a post-apocalyptic desert. Yet, it is "
1463,-2.258413076400757,"""How To Lose Friends & Alienate People"" is not based on Tiger Woods' infidelities. It is a mediocre romantic comedy based on Toby Young's book on his experiences working as a journalist covering celeb"
1702,-2.2583956718444824,"First, what I didn't like. The acting was not really up to the Hamlet standard. Branagh was really over-the-top, doing a lot of yelling mostly. In my opinion, those actors who were not big-name celebr"
229,-2.2578253746032715,"I had to give this film a 10 simply because it did what so many films thrown at black audiences have FAILED MISERABLY to do. This film was void of all the video whore clichés, and it also skipped the "
852,-2.2544612884521484,"Welcome to Collinwood is a lot of things, but it is none of the following:<br /><br />A George Clooney star vehicle Unfunny Un-Original<br /><br />And yes i know, the basis for the movie is another mo"
112,-2.2542340755462646,"Nina Foch insists that ""My Name is Julia Ross"" in this 1945 film noir also starring Dame May Witty and George Macready. It's short, and because it is, the film suffers. It could have stood to have bee"
1267,-2.249861240386963,"A meltdown at a nuclear power plant causes a majority of people to turn into lethal, rot-faced, shambling zombies who naturally go on a grisly rampage. A ragtag handful of uninfected folks do their be"
857,-2.246098756790161,"Richard Willaims is an animation god. He was hampered in directing this film by the producer. The final product is a very uneven film with a very convoluted story, but some amazing moments of animatio"
18,-2.245004892349243,"This movie leaves the intellectual mind thinking and trying to analyze the story. I too cannot understand why people would trash this movie.<br /><br />If you are a Jerry Bruckheimer fan, this movie m"
324,-2.241353750228882,"Firstly, I would like to point out that people who have criticised this film have made some glaring errors. Anything that has a rating below 6/10 is clearly utter nonsense.<br /><br />Creep is an abso"
